DIMENSIONES;RECURSO;NOMBRE DEL RECURSO/PROGRAMA;DESCRIPCIÓN DEL RECURSO;DIRECCIÓN;LOCALIDAD;CONTACTO;ZONA
SALUD ADOLESCENTE;Centros de Atención Primaria;CENTRO DE SALUD Nº 12;Son establecimientos de salud que brindan servicios de atención médica básica y preventiva a la comunidad, siendo el primer punto de contacto con el sistema de salud. Su objetivo principal es garantizar el acceso equitativo a la atención médica esencial y promover la salud de la población.;CALLE 138 y 481, Joaquín Gorina, La Plata, Buenos Aires;Joaquín Gorina;;ZONA NORTE
SALUD ADOLESCENTE;CPA;CENTRO PROVINCIAL DE ATENCIÓN;Son dispositivos públicos de salud, de atención y cuidado, con base territorial y comunitaria, en los que se brindan prestaciones de tipo ambulatoria. Tienen el propósito de prevenir, detectar, diagnosticar problemáticas vinculadas a salud mental, y promover y desarrollar procesos de atención ante padecimientos en salud mental, situaciones de consumos problemáticos y de violencia que se presentan en el ámbito de la salud pública.;CALLE 518 ESQ. 141, Joaquin Gorina, La Plata, Buenos Aires;Joaquín Gorina;;ZONA NORTE
INCLUSIÓN EDUCATIVA Y FORMACIÓN LABORAL;Escuelas Secundarias;SECUNDARIO COVENANT;Son instituciones de enseñanza de gestión privada destinadas a garantizar la obligatoriedad de la escuela secundaria, establecida por Ley nacional a partir de la sanción de la ley 26.206 Tienen una duración de 6 años y ofrecen diferentes orientaciones.;489 e/ 133 y 135, Joaquien Gorina, La Plata, Buenos Aires;Joaquín Gorina;;ZONA NORTE
INCLUSIÓN EDUCATIVA Y FORMACIÓN LABORAL;Escuelas Secundarias;ARANDÚ, NIVEL SECUNDARIO;Son instituciones de enseñanza de gestión privada destinadas a garantizar la obligatoriedad de la escuela secundaria, establecida por Ley nacional a partir de la sanción de la ley 26.206 Tienen una duración de 6 años y ofrecen diferentes orientaciones.;CALLE 481 N° 3721, Joaquín Gorina, La Plata, Buenos Aires;Joaquín Gorina;;ZONA NORTE
INCLUSIÓN EDUCATIVA Y FORMACIÓN LABORAL;Centro Educativo De Nivel Secundario (C.E.N.S.);CENTRO EDUCATIVO NIVEL SECUNDARIO Nº454;Son instituciones destinadas a garantizar la educación, primaria y secundaria de jóvenes, adultos, y adultos mayores, que por diversos motivos no han finalizado los estudios de educación obligatoria. Tiene una duración de tres años;UNIDAD PENITENCIARIA Nº18, CALLE 501, Joaquín Gorina, La Plata, Buenos Aires;Joaquín Gorina;;ZONA NORTE
INCLUSIÓN EDUCATIVA Y FORMACIÓN LABORAL;Centro Educativo De Nivel Secundario (C.E.N.S.);CENTRO EDUCATIVO DE NIVEL SECUNDARIO Nº466;Son instituciones destinadas a garantizar la educación, primaria y secundaria de jóvenes, adultos, y adultos mayores, que por diversos motivos no han finalizado los estudios de educación obligatoria. Tiene una duración de tres años;DIAG. 6 e/ 483 y 485, Joaquín Gorina, La Plata, Buenos Aires;Joaquín Gorina;;ZONA NORTE
INCLUSIÓN EDUCATIVA Y FORMACIÓN LABORAL;Centros Socioeducativos Comunitarios;LA CASITA DE GORINA;Orientados a la revinculación de los alumnos y al fortalecimiento de las trayectorias educativas de jóvenes de barrios populares en situation de vulnerabilidad, brindando apoyo escolar, social y participación comunitaria. Se realizan eventos culturales, talleres, actividades como cine, etc. Muchos de estos también realizan actividades en búsqueda de lograr incorporación al mundo del trabajo digno.;CALLE 482 e/ 135 BIS y 136, Joaquín Gorina, La Plata, Buenos Aires;Joaquín Gorina;;ZONA NORTE
SEGURIDAD;Subcomisariía;SUBCOMISARÍA GORINA;Las Subcomisarías funcionarán con dependencia directa de la Comisaría. A su vez tienen bajo su dependencia a los destacamentos y Puestos de Vigilancia ubicados en la jurisdicción del radio que abarque directamente aquella dependencia.;CALLE 140 BIS y 501, Joaquín Gorina, La Plata, Buenos Aires;Joaquín Gorina;;ZONA NORTE
PROGRAMAS DE PROMOCIÓN Y CUIDADO;Fortalecimiento comunitario para la inclusión de NNyA;INSTITUCIÓN LA CASITA DE LOS CHICOS DE GORINA;La casita surge como un espacio de contención y recreación, con la idea de trabajar a través de talleres en la protección y promoción de los derechos de las NNyA. Desde la casita se intenta aportar a la participación activa de las y los niños y adolescentes a través de talleres entendiendo a estos como un espacio de intercambio y crecimiento constante entre los participantes. Cada uno de los talleres tiene un pilar fundamental: la revalorización y promoción de los derechos de las hijas/os, niños y adolescentes.;CALLE 482 e/ 135 BIS y 136, Joaquín Gorina, La Plata, Buenos Aires;Joaquín Gorina;;ZONA NORTE
PROGRAMAS DE PROMOCIÓN Y CUIDADO;Fortalecimiento comunitario para la inclusión de NNyA;ENTIDAD LA CASITA;Surge como un espacio de contención y recreación para trabajar a través de talleres educativos y recreativos en la protección y promoción de los derechos de las NNyA.. - Desde sus comienzos la casita es un proyecto que, a través de talleres educativos y recreativos, acompaña las trayectorias escolares de NNyA Tiene una fuerte articulación con organizaciones y actores sociales en relación a actividades. En general las acciones tienen que ver con la promoción de la de salud, prevención de enfermedades, vacunación etc., ;CALLE 482 e/ 135 BIS y 136, Joaquín Gorina, La Plata, Buenos Aires;Joaquín Gorina;;ZONA NORTE
PROGRAMAS DE PROMOCIÓN Y CUIDADO;Fortalecimiento comunitario para la inclusión de NNyA;CASITA DE LOS CHICOS DE GORINA;Dirigido a niños y niñas de la localidad de Gorina en situación de vulnerabilidad con padres en la informalidad o desocupados. El objetivo es poder brindar actividades de educación no formal y recreativas, que permitan conectar a los chicos y chicas con actividades que de otra forma no podrían tener acceso. El barrio no tiene propuestas culturales educativas y recreativas para chicos de manera gratuita y desde este espacio buscan brindarlas e integrarlos.;CALLE 482 e/ 135 BIS y 136, Joaquín Gorina, La Plata, Buenos Aires;Joaquín Gorina;;ZONA NORTE
